episode,length,total_reward,avg_q,exploration
161,3439,-12.590536907696006,19.381186,0.44575681889074925
162,5776,-3.4612380102445,19.880627,0.4435391232743774
163,2717,-60.02723794017089,20.427248,0.44133246096952977
164,19000,64.79889841199214,20.10313,0.43913677708410925
165,2546,-9.430470478707903,19.574146,0.43695201699911373
166,19000,-11.425403658673869,19.621054,0.4347781263672774
167,2489,13.605231675144708,19.525852,0.4326150511117189
168,3686,-3.2826172833415797,19.488287,0.43046273742459595
169,19000,-15.889270826391442,20.632895,0.42832113176576714
170,2204,-25.514919761091022,20.95439,0.4261901808614599
171,3287,-0.9517091946242431,20.579248,0.4240698317029452
172,2565,-47.802075607962195,20.274109,0.42196003154521916
173,2869,21.68226607003649,20.835796,0.41986072790569073
174,3306,-17.118049000774022,21.773405,0.4177718685628764
175,19000,12.406096375409037,21.065342,0.4156934015551009
176,3420,-9.630698658056303,19.884863,0.41362527517920494
177,1425,-27.136209300715578,20.969902,0.4115674379892587
178,2470,-34.75765335152522,21.059956,0.40951983879528236
179,1501,-50.70615894217758,21.132181,0.40748242666197254
180,19000,38.13426210286966,20.423914,0.4054551509074354
181,19000,1.6829541249715718,20.908396,0.4034379611019258
182,1919,-29.536685805898202,21.484657,0.4014308070665929
183,18696,-75.78296816399339,21.862595,0.39943363887223177
184,3078,25.299037493489607,21.416656,0.3974464068380416
185,2014,-39.684484579315196,21.944195,0.3954690615303897
186,19000,10.664955989221946,22.814627,0.3935015537615818
187,1938,4.1066812425743535,22.204502,0.3915438345886387
188,2166,18.672225461754863,22.249615,0.3895958553120783
189,1729,-66.42314343278423,22.860237,0.3876575674747048
190,19000,-9.962825442814783,24.23383,0.38572892286040283
191,19000,6.899025922924904,23.931812,0.38380987349293816
192,19000,89.43815002885046,23.581745,0.38190037163476437
193,19000,47.16813734772609,26.24743,0.38000036978583523
194,1843,-44.01180909349148,25.445652,0.37810982068242316
195,19000,-15.745561953166339,26.294556,0.3762286772959435
196,19000,57.10678956234252,26.945383,0.37435689283178464
197,19000,-34.78830939240967,28.483334,0.372494420728144
198,1786,-27.098469522418526,26.966467,0.37064121465486966
199,1938,-21.33331097215921,27.464823,0.3687972285123082
200,19000,2.3851920103980535,27.657873,0.3669624164301574
